console,region,serial,title,languages
PS2,NTSC-U,SLUS-21488,.Hack - G.U. Vol.2 - Reminisce,
PS2,NTSC-U,SLUS-21489,.Hack - G.U. Vol.3 - Redemption,
PS2,NTSC-U,SLUS-20267,.HACK - PART 1 - INFECTION,"En,Ja"
PS2,NTSC-U,SLUS-20562,.Hack - Part 2 � Mutation,"En,Ja"
PS2,NTSC-U,SLUS-20563,.Hack - Part 3 � Outbreak,"En,Ja"
PS2,NTSC-U,SLUS-20564,.Hack - Part 4 � Quarantine,"En,Ja"
PS2,NTSC-U,SLUS-20265,007 - AGENT UNDER FIRE,En
PS2,NTSC-U,SLUS-20751,007 - EVERYTHING OR NOTHING,En
PS2,NTSC-U,SLUS-21282,007 - FROM RUSSIA WITH LOVE,En
PS2,NTSC-U,SLUS-21064,007 - GOLDENEYE - ROGUE AGENT,En
PS2,NTSC-U,SLUS-20579,007 - NIGHTFIRE,En
PS2,NTSC-U,SLUS-21813,007 - QUANTUM OF SOLACE,En
PS2,NTSC-U,SLUS-20091,4x4 Evolution,
PS2,NTSC-U,SLUS-21693,7 Wonders of the Ancient World,
PS2,NTSC-U,SLUS-20210,18 WHEELER - AMERICAN PRO TRUCKER,En
PS2,NTSC-U,SLUS-21268,24 THE GAME,"En,Fr,Es"
PS2,NTSC-U,SLUS-21016,25 TO LIFE,En
PS2,NTSC-U,SLUS-21315,50 CENT BULLETPROOF,En
PS2,NTSC-U,SLUS-21116,187 - RIDE OR DIE,"En,Fr,Es"
PS2,NTSC-U,SLUS-20404,2002 Fifa World Cup,"En,Es"
PS2,NTSC-U,SLUS-20152,ACE COMBAT - SHATTERED SKIES,En
PS2,NTSC-U,SLUS-20851,ACE COMBAT 5 - THE UNSUNG WAR,En
PS2,NTSC-U,SLUS-21346,Ace Combat Zero - The Belkan War,
PS2,NTSC-U,SLUS-20588,Activision Anthology,
PS2,NTSC-U,SLUS-21205,AEON FLUX,En
PS2,NTSC-U,SLUS-20614,Aero Elite - Combat Academy,
PS2,NTSC-U,SLUS-20446,Agassi - Tennis Generation,
PS2,NTSC-U,SLUS-20327,AGGRESIVE INLINE,En
PS2,NTSC-U,SLUS-20346,AIRFORCE DELTA STRIKE,En
PS2,NTSC-U,SLUS-20346,AIRBLADE,En
PS2,NTSC-U,SLUS-21125,AIRBORNE TROOPS - COUNTDOWN TO D-DAY,En
PS2,NTSC-U,SLUS-21321,Alfa Romeo Racing Italiano,
PS2,NTSC-U,SLUS-20673,ALIAS,En
PS2,NTSC-U,SLUS-21090,Alien Hominid,
PS2,NTSC-U,SLUS-20147,Aliens vs. Predator - Extinction,
PS2,NTSC-U,SLUS-20008,All-Star Baseball 2002,
PS2,NTSC-U,SLUS-20311,All-Star Baseball 2003,
PS2,NTSC-U,SLUS-20569,All-Star Baseball 2004,
PS2,NTSC-U,SLUS-20838,All-Star Baseball 2005,
PS2,NTSC-U,SLUS-21690,ALONE IN THE DARK,En
PS2,NTSC-U,SLUS-20465,Alter Echo,
PS2,NTSC-U,SLUS-21706,Alvin and The Chipmunks,
PS2,NTSC-U,SLUS-21069,American Chopper,
PS2,NTSC-U,SLUS-21288,American Chopper 2,
PS2,NTSC-U,SLUS-20816,American Idol,
PS2,NTSC-U,SLUS-21347,AMF Xtreme Bowling,
PS2,NTSC-U,SCUS-97258,Amplitude,
PS2,NTSC-U,SLUS-21237,And 1 Streetball,"En,Fr,Es"
PS2,NTSC-U,SLUS-20392,Ant Extreme Racing,
